id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,label
74,@ForQ2 I guess @realDonaldTrump really doesnt like or respect any politicians. .I respect him even more for that. #SemST,1,0,NA,NA,NA,stance_long
2,"The #Obama Presidency: Has There Ever a Point in Time When He HASN'T Been Lying to #WeThePeople? RE: The ""Liar-in-Chief #SemST",0,0,NA,NA,NA,stance_long
198,"@realDonaldTrump I am sorry Mexico sends people like Dylan Roof, Mitchelle Blair and David Sweat to the USA. #enemywithin #SemST",0,0,NA,NA,NA,stance_long
59,After every @realDonaldTrump interview I watch I get more pumped up for November 2016 when this country can be made great again. #SemST,1,0,NA,NA,NA,stance_long
106,"Notice @realDonaldTrump not saying anything on #CarlosSlim . Not so rich or tough now, huh? Yeah, forgot he's #Mexican huh  #SemST",0,0,NA,NA,NA,stance_long
171,@realDonaldTrump I know you are the best candidate. You are the only one who can #MakeAmericaGreatAgain #RestoreOurRepublic #SemST,1,0,NA,NA,NA,stance_long
152,.@realDonaldTrump is the real deal folks. He tells the truth. Get used to it! #SemST,1,0,NA,NA,NA,stance_long
9,Serious question that came up at dinner--is @realDonaldTrump's craziness just signs of early-onset Alzheimer's? #SemST,0,0,NA,NA,NA,stance_long
16,"WE Love Mexicans,WE Respect your Work Ethic,Your Love of Family,Your Loyalty,Your FOOD &Your Love Of God! Lets ALL Get JOBS,VOTE #SemST",1,0,NA,NA,NA,stance_long
131,"#PrezTrump had a great week, he's the BIG news story, mission accomplished. #tcot #TeaParty #SemST",1,0,NA,NA,NA,stance_long
157,@realDonaldTrump fuck you racist ass bitch. Go fuck yourself #SemST,0,0,NA,NA,NA,stance_long
243,A vote against Trump is a vote against America #SemST,0,0,NA,NA,NA,stance_long
47,"@RealDonaldTrump I feel the truth when Mr. Trump speaking, people need to understand who really cares about America #SemST",1,0,NA,NA,NA,stance_long
77,. @realDonaldTrump American was great until you embarrassed us all to death #SemST,0,0,NA,NA,NA,stance_long
255,@realDonaldTrump You have the heart of a lion! Let's make America great again! #SemST,1,0,NA,NA,NA,stance_long
81,@loudobbsnews Don't you just love that truth is now called controversial comments?!  Has this country fallen that low?! #SemST,1,0,NA,NA,NA,stance_long
302,@AnnCoulter @realDonaldTrump The Media will try to discredit him. Democrats and GOP will attack him. America will Stand with him. #SemST,1,0,NA,NA,NA,stance_long
209,@_George_Lopez__ says there may be enough AMERICAN Racists to Elect Trump as President. I think he's right. Take back America #SemST,0,0,NA,NA,NA,stance_long
