id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,label,run_count,cumulative_ka_mean,cumulative_ka_lower,cumulative_ka_upper,adjacent_reference_iteration,adjacent_ka_mean,adjacent_ka_lower,adjacent_ka_upper
316,"@realDonaldTrump U gonna take this? I hope not! Bullshit from #Univision #NBCUniversal and #Macys. ""Magic of Macy's"" my ass #SemST",0,0,,,,stance_long,1,,,,,,,
206,@realDonaldTrump I recommend @seanhannity as Sec of Defense and @marklevinshow as your new Atty General. #SemST,1,0,,,,stance_long,1,,,,,,,
135,RT @reel_fisherman6: I think Donald would bring this country back to where we used to be #SemST,1,0,,,,stance_long,1,,,,,,,
227,.@nbc ends relationship with @realDonaldTrump over his disgusting derogatory remarks. This man ha no place in the White House. #SemST,0,0,,,,stance_long,1,,,,,,,
157,@realDonaldTrump fuck you racist ass bitch. Go fuck yourself #SemST,0,0,,,,stance_long,1,,,,,,,
284,THE DONALD & CARLEY - Perfect Together! - #Trump #SemST,1,0,,,,stance_long,1,,,,,,,
116,"@ZekeJMiller @Reince @SharonDay GOP plan to stop Trump? LOL Maybe they can put up loser candidates like Romney, McCain and Jeb! #SemST",0,0,,,,stance_long,1,,,,,,,
94,25% of Mexico has INVADED AMERICA - & CONTINUES to OCCUPY us  yet POS #RINO phony #Jeb BLAMES #TRUMP for telling the TRUTH! - #SemST,0,0,,,,stance_long,1,,,,,,,
250,"@realDonaldTrump did not apply to immigrants one of the trade basis, WIN TO WIN. Ignorance can not be excuse #SemST",0,0,,,,stance_long,1,,,,,,,
204,I wonder if Trump is at the Mexico soccer game in Chicago? I hear he has a lot of supporters there #SemST,1,0,,,,stance_long,1,,,,,,,
40,@realDonaldTrump I feel the train is gaining steam.  #SemST,1,0,,,,stance_long,1,,,,,,,
238,@realDonaldTrump You're FIRED! Now get out of here! Go!    #SemST,0,0,,,,stance_long,1,,,,,,,
193,I hate it when percent try to out-bitter each other. #UniteBlue #SemST,0,0,,,,stance_long,1,,,,,,,
186,@realDonaldTrump Everyone is afraid to put a plan on the table for fear they'll be called a racist...America deserves better #SemST,1,0,,,,stance_long,1,,,,,,,
315,delusional - adjective  1. having false or unrealistic beliefs or opinions 2. Donald Trump  #presidentialelection2016 #SemST,0,0,,,,stance_long,1,,,,,,,
105,Why is it wrong when Trump is stating facts about illegal immigrants??? He is 100% Right #SemST,1,0,,,,stance_long,1,,,,,,,
166,@realDonaldTrump your directness & honesty has moved you to the top of my list 4 #President2016! #TRUMPTRUTH #SemST,1,0,,,,stance_long,1,,,,,,,
268,I like many entries in the 2016 Presidential race; but no one is more accomplished than Donald Trump. His cabinet will be full. #SemST,1,0,,,,stance_long,1,,,,,,,
3,Mainstream media should not be giving Donald Trump airtime. Focus on real issues. #SemST,0,0,,,,stance_long,1,,,,,,,
149,"@ProfessorF @JessicaTarlov And deluded shows and ""news"" reporters are not?!  #SemST",0,0,,,,stance_long,1,,,,,,,
266,Donald Trump isn't afraid to roast everyone. #SemST,1,0,,,,stance_long,1,,,,,,,
