id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,label,run_count,cumulative_ka_mean,cumulative_ka_lower,cumulative_ka_upper,adjacent_reference_iteration,adjacent_ka_mean,adjacent_ka_lower,adjacent_ka_upper
0,"If my only impression of the US was Donald Trump, I think I would hate it. #SemST",0,0,,,,stance_long,1,,,,,,,
1,"#presidentialelection2016  Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump #SemST",1,0,,,,stance_long,1,,,,,,,
2,"The #Obama Presidency: Has There Ever a Point in Time When He HASN'T Been Lying to #WeThePeople? RE: The ""Liar-in-Chief #SemST",0,0,,,,stance_long,1,,,,,,,
3,Mainstream media should not be giving Donald Trump airtime. Focus on real issues. #SemST,0,0,,,,stance_long,1,,,,,,,
4,THE @realDonaldTrump **MAKING TWO FEES INSTEAD OF ONE**  WE NEED A WINNER IN THE WHITE HOUSE AGAIN  #MakeAmericaGreatAgain !!  #SemST,1,0,,,,stance_long,1,,,,,,,
5,"@realDonaldTrump is not a pilitical puppet. Maybe a piata, but definitely not a puppet. #SemST",0,0,,,,stance_long,1,,,,,,,
6,@realDonaldTrump You are absolutely right on the border! Bush and company are afraid to address it! #MakeAmericaGreatAgain #SemST,1,0,,,,stance_long,1,,,,,,,
7,@realDonaldTrump you're the man for the job #MakeAmericaGreatAgain #SemST,1,0,,,,stance_long,1,,,,,,,
8,"Please, understand that Donald Trump mouth is full of shit due to his Mexican maid having access to his toothbrush. #SemST",0,0,,,,stance_long,1,,,,,,,
9,Serious question that came up at dinner--is @realDonaldTrump's craziness just signs of early-onset Alzheimer's? #SemST,0,0,,,,stance_long,1,,,,,,,
10,"Another Reagan the last thing we need! The #FatherofAmnesty rewarded 3m criminals, displaced 1.9m in workforce! @DaGodfather907 #SemST",0,0,,,,stance_long,1,,,,,,,
11,I love how everyone thinks canceling @realDonaldTrump's ventures will do anything but hurt themselves. This man has my vote! #SemST,1,0,,,,stance_long,1,,,,,,,
12,"RNC Chairman pleads with Trump to tone it down. I say, Ramp-it-up #SemST",0,0,,,,stance_long,1,,,,,,,
13,Who among us has never defamed an entire country on nat'l television while declaring candidacy for president? #perspective #SemST,0,0,,,,stance_long,1,,,,,,,
14,"The way @realDonaldTrump is taking flak, he must be over the target. #SemST",1,0,,,,stance_long,1,,,,,,,
15,Important part of platform.  Make it illegal to talk during #TrueDetective  #GOP #Election2016 #SemST,2,0,,,,stance_long,1,,,,,,,
16,"WE Love Mexicans,WE Respect your Work Ethic,Your Love of Family,Your Loyalty,Your FOOD &Your Love Of God! Lets ALL Get JOBS,VOTE #SemST",1,0,,,,stance_long,1,,,,,,,
17,@NachoQuesado @kevinsnebula @iconogasmic @Anarkitteh @alaindebotton Your Fired! #yourfired #UpWithTrump #SemST,1,0,,,,stance_long,1,,,,,,,
18,Politicians are destroying America. We need more people like @realDonaldTrump  to run for office #SemST,1,0,,,,stance_long,1,,,,,,,
19,"@Montel_Williams , ex 2bit talk show host, talking shit about @realDonaldTrump . Fuck off montel!! @cnn. #SemST",0,0,,,,stance_long,1,,,,,,,
20,@NBCUniversal maybe you could have a reality show trying to find a new host of celebrity apprentice #YoureFired #SemST,1,0,,,,stance_long,1,,,,,,,
21,You know Donald Trump is in deep when most Neo-Conservatives call him out on his bullsh*t speech. #SemST,0,0,,,,stance_long,1,,,,,,,
22,@realDonaldTrump ' It takes great bravery to stand up to your enemies but even more to stand up to your friends' we need you #SemST,1,0,,,,stance_long,1,,,,,,,
23,"One of the key problems today is that politics is such a disgrace, good people don't go into government. - @realDonaldTrump #SemST",1,0,,,,stance_long,1,,,,,,,
24,"Donald trump is way better than ANY candidate out there. Because he's real, not a lobbyist backed puppet #Election2016 #SemST",1,0,,,,stance_long,1,,,,,,,
25,@TMZ trump a guy born with a silver spoon up his ass who has never done a hard days work in his life  #DumpTrump #YoureFired  #SemST,0,0,,,,stance_long,1,,,,,,,
26,"Le(a)nin left RT @uss_victory: @realDonaldTrump /#LongLiveLiberty; Better is a ""#Capitalist"" for President than a #Communist. #SemST",1,0,,,,stance_long,1,,,,,,,
27,Congrats to the @GOP for having @realDonaldTrump in first place amongst its 2016 candidates. #GOP2016 #Jeb2016 #walker2016 #SemST,1,0,,,,stance_long,1,,,,,,,
28,"So, Donald gets fired, but reverend Al is still employed. Both are idiots. Makes zero sense, #NBC #SemST",0,0,,,,stance_long,1,,,,,,,
29,@Macys not selling Trump because he voices his opinion.. What happy to freedom of speech.. I'll never shop at @Macys again.. #SemST,0,0,,,,stance_long,1,,,,,,,
30,"@seanhannity @BobbyJindal He would be great Vp for Trump.. 2 of  kind,#MakeAmericaGreatAgain , #SemST",1,0,,,,stance_long,1,,,,,,,
31,@realDonaldTrump first time voting and I'm definitely voting for Trump #SemST,1,0,,,,stance_long,1,,,,,,,
32,@realDonaldTrump Go get 'em Mr. Trump!!! #SemST,1,0,,,,stance_long,1,,,,,,,
